channel_id,counted_placements,placements_effect_streams,conversion_effect_streams,residual_reach_effect_streams,shortfall_to_target_streams
CH-30,2,0,0,0,0
CH-01,3,0,10652,-1032,9620
CH-02,4,1800,297,808,2905
CH-03,3,900,122,203,1225
CH-04,6,0,3245,695,3940
CH-05,8,0,6873,567,7440
CH-06,5,-1845,-682,957,-1570
CH-07,3,0,-157,-53,-210
CH-08,4,0,-590,6190,5600
CH-09,2,0,-686,686,0
CH-10,2,2000,800,400,3200
CH-11,1,4999,1498,-1508,4989
CH-12,2,4800,310,390,5500
CH-13,3,0,-1599,7099,5500
CH-14,3,-1355,100,1364,109
CH-15,2,2000,392,-1792,600
CH-16,0,12000,0,-500,11500
CH-17,2,0,120,-120,0
CH-18,2,0,-240,640,400
CH-19,2,0,185,315,500
CH-20,3,-2000,5100,1400,4500
CH-21,2,0,50,3150,3200
CH-22,2,0,100,1800,1900
CH-23,2,0,500,200,700
CH-24,3,-1200,20,280,-900
CH-25,2,0,20,880,900
CH-26,1,1800,115,-1215,700
CH-27,2,0,50,2500,2550
CH-28,2,0,160,640,800
CH-29,1,2000,0,-1000,1000
CH-31,2,0,-902,2000,1098
CH-32,2,0,400,2000,2400
CH-33,2,0,-12,112,100
CH-34,2,0,75,675,750
CH-35,2,0,225,1575,1800
CH-36,1,0,0,0,0
CH-37,2,0,2201,600,2801
CH-38,2,0,1599,400,1999
CH-39,2,0,6900,-6201,699
CH-41,1,0,0,1,1
CH-42,2,0,2024,-324,1700
CH-43,2,0,350,450,800
CH-44,2,0,200,1800,2000
CH-45,0,4000,0,-400,3600
CH-76,2,0,340,560,900
CH-77,2,0,300,-600,-300
CH-78,1,2000,200,-600,1600
CH-79,2,0,200,2400,2600
CH-80,1,2000,700,-1800,900
CH-81,2,0,-200,-600,-800
CH-82,3,0,1160,940,2100
CH-83,1,2000,400,-1200,1200
CH-84,2,0,300,200,500
CH-85,2,0,300,200,500
