review_check,status,review_notes,change_made,what_to_record
Layer 1 · Package consistency,PASS,"Compared task.toml (obi/code-c249-recurring-report-source-selection-audit) with instruction deliverables report_source_audit.csv; report_source_memo.md; results.json and tests/verifier.json (18 checks). Inputs under environment/input/: report_source_standard.md; report_run_log.csv (5 runs). Gold under solution/files. solve.sh installs gold deliverables. No tests/manifest.json (non-connector).","No change required — task pack shipped complete.","Cite agreeing files: instruction.md; task.toml; environment/input/*; tests/verifier.json; solution/files/*. Oracle 1.0 confirmed via harbor."
Layer 1 · Clarity and scope,PASS,"Instruction binds report_source_standard.md plus report_run_log.csv. Deliverables and results.json keys explicit: flagged_count; source_mismatch_count; row_count_mismatch_count; missing_tail_merge_count; missing_job_count. Standard defines: weekly source cutover (archive on or before 2026-07-06, live after); row-count consistency; monthly tail merge; required recurring jobs. A capable agent can solve from instruction + inputs.","No change required for clarity.","Instruction binds standard + inputs; one canonical reading for all 5 finding types."
Layer 1 · Realism and leakage,PASS,"Realistic recurring report source-selection audit. Gold only under solution/; no gold leakage into environment/input/. solve.sh copies gold files to workspace.",No change required.,Realistic reporting pipeline audit; no gold leakage into agent-visible input.
Layer 2 Difficulty,PASS,"GLM-5.2 battery (18 verifiers): r1=0.0 (content error - 22min), r2=0.0 (content error - 12min), r3=0.0 (agent crash - 9min), r4=0.0 (content error - 17min), r5=0.0 (content error - 14min). Pass count: 0/5. First-four at 1.0: 0/4 (meets E5 <=2/4 bar). All GLM runs produce wrong output — the cutover-date inclusivity trap and tail-merge requirement are consistently missed.","No densification applied — task ships at appropriate difficulty. First-four 0/4 meets E5 bar.","How many GLM 5.2 passes at reward=1.0: 0/5. First-four: 0/4 (meets E5 bar). All content errors except r3 (agent crash)."
Layer 2 Solvability,PASS,"Oracle solve.sh installs gold and scores reward 1.0 (18 checks). All 5 GLM runs fail at 0.0. solution/solve.sh copies gold files to workspace. Oracle path is independent and verified.","No change required.","Oracle 1.0 confirmed; GLM 0/5 but solvable by oracle."
Layer 2 Stability,PASS,"Stability repeats: repeat-01 (oracle-c249-stab-v2-1) reward 1.0, repeat-02 (oracle-c249-stab-v2-2) reward 1.0. Both pass all 18 verifiers.",No change required.,Same reward 1.0 across 2 oracle verifier repeats.
Layer 3 Oracle Mode,PASS,"harbor oracle via solution/solve.sh produces reward 1.0 against the 18-verifier set (3 file-existence, 6 CSV regex per-run checks, 5 memo regex, 5 results.json value checks). All deterministic.",No change required.,Oracle mode agent verifier results confirm 1.0 reward.
Layer 4 · Environment and files,PASS,"environment/Dockerfile uses python:3.12 base. Inputs present and readable: report_source_standard.md (37 lines); report_run_log.csv (5 runs with run_id/job_name/run_date/source_used/reported_row_count). Agent writes deliverables to workspace root filenames required by instruction.",No change required.,No packaging/sandbox/dependency failures on oracle or GLM; GLM failures are content errors.
"Layer 4 · Connectors, MCPs, and CLIs",N/A,"Non-connector Harbor task. No MCP connector or CLI graded surface. task.toml declares empty mcp_servers list. Keywords include non-connector and offline.",No change required.,N/A: NonConnector task; no connector/MCP/CLI requirements.
Layer 4 · Deliverables and artifact quality,PASS,"Gold report_source_audit.csv has columns run_id; job_name; run_date; source_used; reported_row_count; finding with 5 run rows. Gold report_source_memo.md explains each finding including the RUN-05 cutover-date inclusivity trap. Gold results.json has flagged_count=3; source_mismatch_count=1; row_count_mismatch_count=1; missing_tail_merge_count=1; missing_job_count=0.",No change required.,Deliverables complete and usable; schemas match instruction.
